"""Administration""","""General""",,,"""A.01.001""","These Regulations may be cited as the  Food and Drug Regulations """
"""Administration""","""General""",,,"""A.01.002""","These Regulations, where applicable, prescribe the standards of composition, strength, potency, purity, quality or other property of the article of food or drug to which they refer. """
"""Administration""","""General""",,,"""A.01.003""","[Repealed, SOR/94-289, s. 1] """
"""Administration""","""Interpretation""",,,"""A.01.010""","In these Regulations, acceptable method Act Food and Drugs Act common-law partner cubic centimetre cc. millilitre ml. Director [Repealed, SOR/2018-69, s. 1] inner label Lot number manufacturer [Repealed, SOR/97-12, s. 1] manufacturer distributor official method outer label prescription drug Prescription Drug List principal display panel Consumer Packaging and Labelling Regulations security package """
"""Administration""","""Interpretation""",,,"""A.01.011""","The Minister shall, upon request, furnish copies of official methods. """
"""Administration""","""Interpretation""",,,"""A.01.012""","The Minister shall, upon request, indicate that a method is acceptable or otherwise upon its submission to him for a ruling. """
"""Administration""","""Interpretation""",,,"""A.01.013""","Where a food, drug, vitamin or cosmetic has more than one name, whether proper or common, a reference in these Regulations to the food, drug, vitamin or cosmetic by any of its names is deemed to be a reference to the food, drug or vitamin by all of its names. """
"""Administration""","""Interpretation""",,,"""A.01.014""","When a lot number is required by these Regulations to appear on any article, container, package or label it shall be preceded by one of the following designations: (a) “Lot number”; (b) “Lot No.”; (c) “Lot”; or (d) “(L)”. """
"""Administration""","""Interpretation""",,,"""A.01.015""","(1) Subject to subsection (2), any statement, information or declaration that is required by these Regulations to appear on the label of any drug shall be in either the French or the English language in addition to any other language. (2) The adequate directions for use required to be shown on the inner and outer labels of a drug pursuant to subparagraph C.01.004(1)(c)(iii) shall be in both the French and English languages if the drug is available for sale without prescription in an open self-selection area. """
"""Administration""","""Interpretation""",,,"""A.01.016""","All information that is required by these Regulations to appear on a label of a food or a drug, other than a drug for human use in dosage form, shall be (a) clearly and prominently displayed on the label; and (b) readily discernible to the purchaser or consumer under the customary conditions of purchase and use. """
"""Administration""","""Interpretation""",,,"""A.01.017""","Every label of a drug for human use in dosage form shall meet the following conditions: (a) the information that is required by these Regulations to appear on the label shall be (i) prominently displayed on it, (ii) readily discernible to the purchaser or consumer under the customary conditions of purchase and use, and (iii) expressed in plain language; and (b) the format of the label, including the manner in which its text and any graphics are displayed on it, shall not impede comprehension of the information referred to in paragraph (a). """
"""Administration""","""Analysts; Inspectors""",,,"""A.01.020 and A.01.021""","[Repealed, SOR/81-935, s. 1] """
"""Administration""","""Analysts; Inspectors""",,,"""A.01.022""","An inspector shall perform the functions and duties and carry out the responsibilities in respect of foods and drugs prescribed by the Act, and these Regulations. """
"""Administration""","""Analysts; Inspectors""",,,"""A.01.023""","The authority of an inspector extends to and includes the whole of Canada. """
"""Administration""","""Analysts; Inspectors""",,,"""A.01.024""","The certificate of designation required pursuant to subsection 22(2) of the Act shall (a) certify that the person named therein is an inspector for the purpose of the Act; and (b) be signed by (i) the Minister and the person named in the certificate, in the case of an inspector on the staff of the Department. (ii) [Repealed, SOR/2000-184, s. 60] """
"""Administration""","""Analysts; Inspectors""",,,"""A.01.025""","Where authorized by a regulation made pursuant to the  Broadcasting Act Proprietary or Patent Medicine Act Food and Drugs Act """
"""Administration""","""Analysts; Inspectors""",,,"""A.01.026""","An inspector may, for the proper administration of the Act or these Regulations, take photographs of (a) any article that is referred to in subsection 23(2) of the Act; (b) any place where, on reasonable grounds, he believes any article referred to in paragraph (a) is manufactured, prepared, preserved, packaged or stored; and (c) anything that, on reasonable grounds, he believes is used or capable of being used for the manufacture, preparation, preservation, packaging or storing of any article referred to in paragraph (a). """
"""Administration""","""Importations""",,,"""A.01.040""","Subject to section A.01.044, no person shall import into Canada for sale a food or drug the sale of which in Canada would constitute a violation of the Act or these Regulations. """
"""Administration""","""Importations""",,,"""A.01.041""","An inspector may examine and take samples of any food or drug sought to be imported into Canada. """
"""Administration""","""Importations""",,,"""A.01.042""","If an inspector examines or takes a sample of a food or drug under section A.01.041, the inspector may submit it to an analyst for analysis or examination. """
"""Administration""","""Importations""",,,"""A.01.043""","If an inspector, on examination of a sample of a food or drug or on receipt of a report of an analyst of the result of an analysis or examination of the sample, is of the opinion that the sale of the food or drug in Canada would constitute a violation of the Act or these Regulations, the inspector shall so notify in writing the collector of customs concerned and the importer. """
"""Administration""","""Importations""",,,"""A.01.044""","(1) Where a person seeks to import a food or drug into Canada for sale and the sale would constitute a violation of the Act or these Regulations, that person may, if the sale of the food or drug would be in conformity with the Act and these Regulations after its relabelling or modification, import it into Canada on condition that (a) the person gives to an inspector notice of the proposed importation; and (b) the food or drug will be relabelled or modified as may be necessary to enable its sale to be lawful in Canada. (2) No person shall sell a food or drug that has been imported into Canada under subsection (1) unless the food or drug has been relabelled or modified within three months after the importation or within such longer period as may be specified by (a) in the case of a drug, the Minister; or (b) in the case of food, the Minister or the President of the Canadian Food Inspection Agency. """
"""Administration""","""Exports""",,,"""A.01.045""","A certificate referred to in section 37 of the Act shall be signed and issued by the exporter in the form set out in Appendix III. """
"""Administration""","""Sampling""",,,"""A.01.050""","When taking a sample of an article pursuant to paragraph 23(1)(a) of the Act, an inspector shall inform the owner thereof or the person from whom the sample is being obtained of the inspector’s intention to submit the sample or a part thereof to an analyst for analysis or examination, and (a) where, in the opinion of the inspector, division of the procured quantity would not interfere with analysis or examination (i) divide the quantity into three parts, (ii) identify the three parts as the owner’s portion, the sample, and the duplicate sample and where only one part bears the label, that part shall be identified as the sample, (iii) seal each part in such a manner that it cannot be opened without breaking the seal, and (iv) deliver the part identified as the owner’s portion to the owner or the person from whom the sample was obtained and forward the sample and the duplicate sample to an analyst for analysis or examination; or (b) where, in the opinion of the inspector, division of the procured quantity would interfere with analysis or examination (i) identify the entire quantity as the sample, (ii) seal the sample in such a manner that it cannot be opened without breaking the seal, and (iii) forward the sample to an analyst for analysis or examination. """
"""Administration""","""Sampling""",,,"""A.01.051""","Where the owner or the person from whom the sample was obtained objects to the procedure followed by an inspector under section A.01.050 at the time the sample was obtained, the inspector shall follow both procedures set out in that section if the owner or the person from whom the sample was obtained supplies him with a sufficient quantity of the article. """
"""Administration""","""Tariff of Fees""",,,"""A.01.060""","The cost of analysing a sample other than for the purpose of the Act, for a department of the Government of Canada for the purpose of legal action is $15. """
"""Administration""","""Labelling of Food and Drugs in Pressurized Containers""",,,"""A.01.060.1""","In sections A.01.061 and A.01.062, flame projection Determination of Flame Projection flashback Determination of Flame Projection principal display panel [Repealed, SOR/2000-353, s. 2] """
